Date,Open,High,Low,Close,Adj Close,Volume
2019-07-03,215.029999,216.149994,214.619995,216.149994,211.288925,239500
2019-07-05,214.630005,216.100006,213.639999,215.820007,210.966370,275700
2019-07-08,214.350006,214.490005,213.320007,214.220001,209.402328,251100
2019-07-09,212.949997,215.229996,212.889999,215.029999,210.194138,848700
2019-07-10,216.149994,218.009995,216.139999,216.679993,211.807007,610100
2019-07-11,217.240005,218.149994,216.649994,217.399994,212.510818,381600
2019-07-12,217.929993,219.160004,217.690002,219.139999,214.211670,304500
2019-07-15,219.589996,220.000000,219.119995,219.679993,214.739548,280600
2019-07-16,219.509995,219.509995,217.369995,217.820007,212.921387,1653000
2019-07-17,217.919998,218.649994,217.289993,217.289993,212.403275,218000
2019-07-18,217.000000,219.139999,216.520004,218.830002,213.908661,348000
2019-07-19,220.669998,220.899994,217.529999,217.639999,212.745407,369400
2019-07-22,218.509995,220.570007,218.509995,220.000000,215.052338,354100
2019-07-23,221.289993,221.289993,219.500000,221.250000,216.274246,316500
2019-07-24,220.990005,223.369995,220.860001,223.320007,218.297699,332800
2019-07-25,222.889999,222.889999,221.270004,221.740005,216.753220,385000
2019-07-26,222.570007,223.589996,222.529999,223.279999,218.258591,253800
2019-07-29,223.279999,223.669998,220.960007,222.929993,217.916443,528800
2019-07-30,221.240005,222.429993,220.880005,221.580002,216.596817,230100
2019-07-31,222.520004,222.960007,216.050003,218.350006,213.439468,664600
2019-08-01,218.740005,223.199997,216.179993,217.250000,212.364197,880600
2019-08-02,215.509995,216.000000,211.440002,213.199997,208.405289,686600
2019-08-05,207.580002,207.610001,202.619995,204.440002,199.842300,1097000
2019-08-06,206.970001,208.270004,205.169998,207.429993,202.765030,695200
2019-08-07,205.270004,209.250000,204.139999,208.850006,204.153107,462400
2019-08-08,210.520004,214.100006,210.119995,214.020004,209.206863,1096400
2019-08-09,212.889999,213.320007,210.100006,211.580002,206.821732,358700
2019-08-12,210.210007,210.669998,207.820007,208.770004,204.074905,411100
2019-08-13,208.630005,214.539993,208.160004,213.789993,208.981995,423700
2019-08-14,209.779999,210.509995,206.550003,207.220001,202.559769,2258200
2019-08-15,207.360001,207.770004,205.059998,206.809998,202.158997,643200
2019-08-16,208.820007,211.100006,208.289993,210.529999,205.795319,354700
2019-08-19,213.839996,214.460007,212.600006,213.639999,208.835388,658300
2019-08-20,213.360001,214.339996,212.389999,212.690002,207.906784,339400
